total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_partners,total_busy_partners,total_outstanding_orders,time_diff,market_id,store_id,store_primary_category,order_protocol
4,3441,4,557,1239,33,14,21,3779,1,5913,6,1
1,1525,1,1525,1525,5,6,8,2273,1,6304,41,1
2,3620,2,1425,2195,5,5,7,2988,1,6304,41,1
3,4475,3,925,1825,4,1,1,5267,1,6304,41,1
3,4375,3,1325,1625,6,4,3,4976,1,6304,41,1
2,3150,2,1425,1725,4,9,12,4296,1,6304,41,1
2,950,2,150,700,24,24,26,3019,1,5478,49,1
5,1285,3,150,400,12,13,11,1733,1,5478,49,1
4,5800,4,700,2000,19,19,30,2831,1,6127,41,1
2,2800,2,1200,1600,21,17,16,2987,1,6127,41,1
7,14900,5,1200,3900,8,11,11,5840,1,6127,41,1
3,3400,3,1400,2100,22,21,39,5574,1,6127,41,1
3,3800,3,700,1600,16,9,7,2291,1,6127,41,1
1,1800,1,1800,1800,27,25,24,2693,1,6127,41,1
4,5800,4,700,2000,13,16,27,2638,1,6127,41,1
3,3800,3,800,1800,21,18,20,2254,1,6127,41,1
1,1800,1,1800,1800,22,21,20,3820,1,6127,41,1
2,2700,2,1200,1500,16,16,13,2253,1,6127,41,1
3,1765,3,275,895,22,21,24,1870,1,2199,1,1
1,975,1,975,975,24,25,30,3047,1,2199,1,2
3,1425,3,175,900,13,12,7,2055,1,2199,1,2
2,1750,2,825,825,18,18,20,1559,1,2199,1,2
8,7870,6,825,895,12,11,9,3446,1,2199,1,2
2,1725,2,825,900,21,18,18,2254,1,2199,1,2
3,2015,3,395,1025,22,13,13,2915,1,2199,1,2
1,1220,1,825,825,21,21,20,1766,1,2199,1,2
2,595,2,200,295,5,1,1,1751,1,759,17,4
1,1245,1,1245,1245,74,68,96,1951,1,4487,71,1
12,7465,8,200,1545,56,52,83,2891,1,4487,36,5
2,3228,2,1546,1812,33,32,41,2907,1,2346,22,1
1,1100,1,1100,1100,19,19,17,2793,1,2346,22,1
2,3100,2,1400,1700,26,25,34,4619,1,2346,22,1
1,1150,1,1150,1150,0,0,0,3705,1,2430,42,1
4,4805,2,1095,1195,0,0,0,3262,1,2430,42,1
7,5200,5,225,1095,0,0,0,1667,1,2430,42,1
3,2910,3,595,1095,0,0,0,2100,1,2430,42,1
2,2495,2,1095,1150,0,0,0,3705,1,2430,42,1
2,2345,2,1150,1195,0,0,0,2575,1,2430,42,1
1,1250,1,1150,1150,0,0,0,3131,1,2430,42,1
2,1190,2,595,595,0,0,0,2205,1,2430,42,1
7,5035,5,195,1150,0,0,0,2791,1,2430,42,1
3,2065,3,195,1150,0,0,0,3184,1,2430,42,1
2,1790,1,895,895,0,0,0,2517,1,2430,42,1
3,3410,1,1095,1095,0,0,0,2865,1,2430,42,1
2,1545,2,295,1150,0,0,0,4107,1,2430,42,1
3,3100,2,600,1150,0,0,0,1860,1,2430,42,1
1,1250,1,1150,1150,0,0,0,3570,1,2430,42,1
1,1320,1,1195,1195,0,0,0,3086,1,2430,42,1
1,1250,1,1150,1150,0,0,0,4494,1,2430,42,1
3,2990,3,595,1150,0,0,0,5214,1,2430,42,1
2,2190,1,1095,1095,0,0,0,2890,1,2430,42,1
3,3285,1,1095,1095,0,0,0,3214,1,2430,42,1
4,3040,4,350,1095,0,0,0,2557,1,2430,42,1
2,2245,2,1095,1150,0,0,0,1439,1,2430,42,1
2,1850,2,600,1100,0,0,0,3360,1,2430,42,1
2,1800,1,900,900,15,5,5,1112,1,4350,6,1
2,2500,2,1200,1300,18,19,28,3513,1,4350,6,1
3,2500,2,300,1650,27,29,34,2715,1,4350,6,1
2,2500,2,1200,1300,2,1,2,1722,1,4350,6,1
3,2500,2,300,1650,28,28,44,3405,1,4350,6,1
1,2210,1,1529,1613,18,22,25,3587,1,4350,6,1
2,2500,2,1200,1300,25,26,36,3588,1,4350,6,4
2,1950,2,650,1150,6,6,5,1394,1,4350,6,1
2,2000,1,1000,1000,4,4,6,2057,1,4350,6,1
4,1950,3,250,1000,3,3,3,3935,1,4350,6,1
6,1702,4,164,555,8,9,11,2581,1,3714,25,4
9,2153,6,149,219,4,6,5,4319,1,3714,25,4
6,3885,6,300,1295,11,10,16,2785,1,2275,38,3
1,1250,1,1250,1250,31,25,25,2051,1,536,38,4
2,1525,2,750,775,33,33,31,2599,1,6257,17,1
4,3345,4,650,1195,8,8,12,2343,1,4449,42,3
9,3930,4,385,750,24,24,52,6786,1,4449,42,3
4,3380,4,385,1395,21,23,51,7862,1,4449,42,3
17,9090,9,250,1395,15,17,24,4099,1,4449,42,3
1,1299,1,1299,1299,20,22,22,2658,1,4449,42,3
1,799,1,479,479,5,5,4,4221,1,1112,48,1
4,1400,1,350,350,18,18,29,1716,1,4198,49,1
5,2525,2,350,375,36,39,43,2635,1,4198,49,1
11,3375,9,200,475,36,38,59,2678,1,4198,49,1
3,1075,3,300,475,42,43,71,2755,1,4198,49,1
6,2425,6,300,475,23,20,21,2263,1,4198,49,1
5,1650,2,250,350,29,27,28,3304,1,4198,49,1
9,3550,7,250,475,21,23,36,3085,1,4198,49,1
5,2175,2,350,375,16,18,21,3696,1,4198,49,1
5,1750,4,250,475,22,22,26,1564,1,4198,49,1
3,1075,3,300,475,34,34,36,3329,1,4198,49,1
6,2052,5,75,1049,10,9,9,2015,1,5258,30,4
1,2699,1,2699,2699,12,12,10,2190,1,5258,30,4
4,6993,3,397,4027,21,24,34,1503,1,5258,30,4
2,1998,1,999,999,27,26,30,3203,1,5258,30,4
3,1229,2,265,699,7,7,5,2711,1,5258,30,4
1,2699,1,2699,2699,17,15,11,3325,1,5258,30,4
6,2236,6,169,479,17,13,19,2565,1,5258,30,4
2,1998,1,999,999,6,7,10,2172,1,5258,30,4
4,1302,4,75,699,23,22,18,3488,1,5258,30,4
3,2440,3,450,1495,43,45,73,2572,1,3825,38,3
7,5275,4,395,1495,44,44,56,5208,1,3825,38,3
6,5985,4,200,2295,31,34,79,3317,1,3825,38,3
5,3540,4,200,1395,39,40,73,2779,1,3825,38,3
2,2090,2,595,1495,14,17,19,1667,1,3825,38,3
4,5080,4,595,2095,55,55,73,3444,1,3825,38,3
3,2440,3,450,1495,39,40,80,4684,1,3825,38,3
5,5340,4,350,2495,50,51,87,2425,1,3825,38,3
2,1790,2,395,1395,63,61,65,1399,1,3825,38,3
1,995,1,895,895,20,20,28,2299,1,4028,6,5
1,1895,1,895,895,14,10,8,2661,1,4028,6,5
10,9650,9,245,1245,19,19,14,3343,1,4028,6,5
1,995,1,895,895,8,10,10,4148,1,4028,6,5
4,2396,4,299,899,32,31,39,4616,1,3507,22,5
3,3429,3,265,2699,9,10,14,2608,1,5258,30,4
2,1698,2,799,899,28,29,26,2544,1,5258,30,4
4,1943,4,174,763,11,16,17,3419,1,5258,30,4
2,1478,2,479,999,25,27,49,7338,1,5258,30,4
2,958,2,359,599,20,21,19,4460,1,5258,30,4
10,2977,7,95,479,18,18,15,2778,1,5258,30,4
1,479,1,479,479,11,11,15,3039,1,5258,30,4
1,799,1,799,799,23,23,16,2692,1,5258,30,4
24,3190,8,0,699,17,17,24,5760,1,5258,30,4
2,3868,2,1049,2819,16,11,6,3472,1,5258,30,4
9,2712,6,95,479,11,11,6,3433,1,5258,30,4
7,1223,5,0,649,22,22,48,5808,1,5258,30,4
1,2699,1,2699,2699,18,20,30,4621,1,5258,30,4
6,958,6,0,599,17,9,9,2137,1,5258,30,4
1,2699,1,2699,2699,18,10,10,1249,1,5258,30,4
4,792,4,75,359,13,7,6,3430,1,5258,30,4
3,3300,3,700,1500,18,20,28,4169,1,3488,42,1
4,4400,4,700,1400,18,20,20,1869,1,3488,42,1
6,4600,5,400,1600,26,25,28,4236,1,3488,42,1
1,995,1,995,995,21,22,17,2642,1,4028,6,5
2,1240,2,245,895,13,8,9,1911,1,4028,6,5
2,2140,2,995,1145,17,15,13,1970,1,4028,6,5
2,2140,2,995,1145,18,15,13,1970,1,4028,6,5
3,2635,3,495,1145,19,20,22,2565,1,4028,6,5
2,1450,2,625,825,7,7,4,3669,1,3026,75,1
1,825,1,825,825,3,3,3,4331,1,3026,75,1
4,4540,3,804,1017,5,6,8,2777,1,3026,75,1
2,1750,2,625,875,6,5,5,2267,1,3026,75,1
3,2400,3,625,950,4,4,3,2355,1,3026,75,1
2,1800,2,625,875,0,0,0,2012,1,3026,75,1
2,1370,2,495,875,5,8,8,2927,1,3026,75,1
3,1870,3,495,825,8,5,5,2212,1,3026,75,1
3,2070,3,495,950,6,7,7,1783,1,3026,75,1
1,825,1,825,825,1,1,2,2049,1,3026,75,1
4,2940,3,495,875,5,5,4,1854,1,3026,75,1
1,825,1,825,825,2,0,0,2023,1,3026,75,4
5,5425,3,875,875,3,3,2,2659,1,3026,75,1
3,2425,3,625,875,5,4,1,1937,1,3026,75,1
2,1500,2,625,875,3,3,4,3759,1,3026,75,1
4,3500,3,875,875,9,9,5,2852,1,3026,75,1
