total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_partners,total_busy_partners,total_outstanding_orders,time_diff,market_id,store_id,store_primary_category,order_protocol
1,1220,1,825,825,21,21,20,2884,2,2199,71,5
5,6200,5,500,1800,34,30,28,1960,3,212,6,5
2,2800,2,1000,1800,18,15,15,2340,3,212,6,5
4,5800,4,600,2400,33,33,42,2403,3,212,6,5
2,2641,2,625,1240,27,22,24,1788,3,212,6,5
2,2500,2,600,1900,17,13,12,2466,3,212,6,5
3,3300,3,600,1800,38,37,43,2428,3,212,6,5
4,5100,4,500,1900,16,16,26,2284,3,212,6,5
4,3500,4,600,1200,20,29,33,1751,3,212,6,5
3,3500,3,500,1900,16,5,5,1264,3,212,6,5
2,3600,1,1800,1800,21,21,21,2766,3,212,6,5
7,9000,7,600,2400,15,12,11,1899,3,212,6,5
3,4709,3,1197,1596,34,29,30,1987,3,212,6,5
2,2800,2,1000,1800,21,23,24,2127,3,212,6,5
10,9800,6,600,1200,39,37,37,2517,3,212,6,5
2,2800,2,1000,1800,21,23,27,3613,3,212,6,5
2,2800,2,1300,1500,26,25,24,2762,3,212,6,5
6,5800,6,500,1500,30,31,46,3349,3,212,6,5
6,5500,6,500,1300,35,31,28,1949,3,212,6,5
3,3400,3,600,1900,34,34,36,2132,3,212,6,5
4,4900,4,600,2400,33,33,33,2097,3,212,6,5
3,6000,2,1200,2400,24,24,21,2081,3,212,6,5
1,1800,1,1800,1800,11,11,13,3495,3,212,6,5
2,3600,2,1200,2400,20,20,18,2186,3,212,6,5
1,1800,1,1800,1800,14,9,9,2770,3,212,6,5
2,1600,2,600,1000,13,13,16,3182,3,212,6,5
1,1500,1,1500,1500,12,14,15,2963,3,212,6,5
4,5200,2,800,1800,35,30,29,2096,3,212,6,5
1,950,1,950,950,65,71,29,2568,4,4487,58,5
2,2095,2,850,1245,39,59,36,1795,2,4487,42,5
12,7465,8,200,1545,56,52,83,2891,1,4487,36,5
3,4575,3,725,1975,37,36,43,2189,2,355,12,5
1,995,1,895,895,20,20,28,2299,1,4028,6,5
1,1895,1,895,895,14,10,8,2661,1,4028,6,5
10,9650,9,245,1245,19,19,14,3343,1,4028,6,5
1,995,1,895,895,8,10,10,4148,1,4028,6,5
4,2396,4,299,899,32,31,39,4616,1,3507,22,5
2,2125,2,650,1475,36,35,37,2136,4,355,49,5
1,995,1,995,995,21,22,17,2642,1,4028,6,5
2,1240,2,245,895,13,8,9,1911,1,4028,6,5
2,2140,2,995,1145,17,15,13,1970,1,4028,6,5
2,2140,2,995,1145,18,15,13,1970,1,4028,6,5
3,2635,3,495,1145,19,20,22,2565,1,4028,6,5
1,1395,1,795,795,133,92,149,2431,3,4537,30,5
3,2285,3,295,995,6,5,5,3289,3,2996,71,5
2,1690,2,495,995,10,9,13,2853,3,2996,71,5
1,1491,1,585,819,7,7,13,1449,3,2996,71,5
2,1690,2,695,795,5,2,2,1854,3,2996,71,5
1,995,1,995,995,7,7,7,4089,3,2996,71,5
2,1395,2,100,995,3,3,3,2781,3,2996,71,5
2,1290,2,495,795,7,6,8,1619,3,2996,71,5
2,2090,2,995,995,14,14,21,3950,3,2996,71,5
4,2980,4,495,995,17,13,13,1031,3,2996,71,5
3,1590,3,100,795,10,11,13,2931,3,2996,71,5
2,1290,2,295,995,6,5,7,1228,3,2996,71,5
4,2280,3,295,995,16,16,18,2772,3,2996,71,5
6,4030,6,100,995,5,5,6,4034,3,2996,71,5
4,3980,3,695,995,10,7,5,1464,3,2996,71,5
3,3140,3,150,1495,14,14,19,3812,3,2996,71,5
2,1690,2,695,995,14,15,25,5478,3,2996,71,5
5,4675,5,695,995,17,15,17,3080,3,2996,71,5
2,2290,2,595,995,9,11,14,3080,3,2996,71,5
3,2240,3,350,995,15,9,9,1283,3,2996,71,5
3,2785,3,695,995,9,9,12,2583,3,2996,71,5
2,2490,2,995,995,4,2,2,1410,3,2996,71,5
2,2200,2,1000,1200,54,51,70,2174,5,6701,38,5
6,4960,4,795,795,87,76,107,2892,4,6513,26,5
4,4930,4,1095,1250,66,63,90,3044,4,6513,26,5
2,1470,2,325,1095,50,50,55,2420,4,6513,26,5
1,1190,1,1095,1095,8,3,3,1283,4,6513,26,5
3,2410,3,225,1095,40,79,54,2958,4,6513,26,5
2,2830,2,1150,1295,110,70,115,2021,4,6513,26,5
9,9705,9,250,1295,47,28,39,3549,4,6513,26,5
1,1295,1,1295,1295,21,25,22,1883,4,6513,26,5
5,2430,4,250,795,57,80,53,2635,4,6513,26,5
2,2840,2,1095,1250,5,0,0,1543,4,6513,26,5
1,1250,1,1250,1250,40,43,55,1545,4,6513,26,5
2,2845,2,950,1250,17,5,5,1596,4,6513,26,5
3,2515,3,225,1195,11,7,9,1796,4,6513,26,5
2,1769,2,366,1046,14,17,12,1401,4,6513,26,5
4,4680,4,995,1250,137,89,147,2691,4,6513,26,5
1,795,1,795,795,43,29,31,1449,4,6513,26,5
1,995,1,895,895,93,86,126,1752,4,6513,26,5
1,795,1,795,795,69,51,52,1549,4,6513,26,5
2,2545,2,1150,1295,82,75,110,2358,4,6513,26,5
5,3635,3,325,1095,14,14,15,2003,4,6513,26,5
9,8175,9,225,1250,87,78,159,4385,4,6513,26,5
2,1885,2,495,1095,16,12,14,1842,4,6513,26,5
2,2445,2,1150,1295,34,26,26,1896,4,6513,26,5
2,3030,2,1095,1250,105,96,127,2811,4,6513,26,5
1,1390,1,1095,1095,100,85,129,3207,4,6513,26,5
2,2430,2,795,1250,66,65,88,2623,4,6513,26,5
1,1095,1,1095,1095,11,6,5,1912,4,6513,26,5
2,1500,2,250,1250,82,83,151,2481,4,6513,26,5
2,1500,2,250,1250,84,85,149,2481,4,6513,26,5
7,5160,5,295,1150,9,4,4,2618,4,6513,26,5
1,990,1,795,795,17,15,12,2301,4,6513,26,5
1,1185,1,795,795,96,71,112,2421,4,6513,26,5
3,1820,3,350,795,35,14,13,1931,4,6513,26,5
3,3945,2,1250,1250,70,68,124,2942,4,6513,26,5
2,2315,2,895,1195,42,23,19,1923,4,6513,26,5
2,2585,2,1095,1295,53,42,48,1174,4,6513,26,5
1,1450,1,1250,1250,33,28,31,1653,4,6513,26,5
1,795,1,795,795,49,35,51,2038,4,6513,26,5
1,1400,1,1150,1150,29,22,23,2193,4,6513,26,5
3,2795,3,250,1295,79,66,89,2703,4,6513,26,5
1,1445,1,1250,1250,38,35,41,2915,4,6513,26,5
4,4035,4,795,1295,103,143,136,2460,4,6513,26,5
2,1575,2,325,1250,34,34,50,1926,4,6513,26,5
2,2340,2,895,1250,58,107,58,2201,4,6513,26,5
2,1633,2,507,1140,20,52,21,2126,4,6513,26,5
4,4085,4,650,1250,70,69,89,3796,4,6513,26,5
5,5070,5,795,1095,105,86,106,1874,4,6513,26,5
1,1295,1,1295,1295,33,22,33,1499,4,6513,26,5
2,2385,2,895,1095,66,63,90,2308,4,6513,26,5
2,2590,1,1295,1295,29,75,16,2030,2,6513,58,5
2,2755,2,1050,1095,4,4,4,2320,4,6513,26,5
2,1290,2,495,795,60,57,88,1695,4,6513,26,5
1,1150,1,1150,1150,90,81,162,3958,4,6513,1,5
4,4075,4,795,1295,64,64,124,2503,4,6513,26,5
3,2005,3,295,895,14,50,11,1853,4,6513,26,5
2,945,2,295,650,11,57,8,1724,4,6513,26,5
2,2290,2,895,1395,20,21,20,2162,4,5456,17,5
1,4592,1,4362,4509,18,17,10,2844,2,2027,71,5
5,7400,5,1400,1650,55,56,104,4013,1,2011,26,5
4,3600,4,295,1195,40,38,38,2832,4,6513,26,5
1,1190,1,895,895,58,106,59,1684,4,6513,26,5
4,3385,4,395,1150,41,7,5,1377,4,6513,26,5
3,2215,3,325,1095,10,63,7,2391,4,6513,26,5
3,1485,3,295,895,29,29,31,1783,4,6513,26,5
1,895,1,895,895,5,3,4,1868,4,6513,26,5
1,1195,1,1195,1195,18,15,13,2785,4,6513,26,5
3,3435,3,795,1295,82,68,114,3300,4,6513,26,5
2,1575,2,325,1250,58,56,60,1638,4,6513,26,5
2,1345,2,550,795,66,114,52,1355,4,6513,26,5
2,1120,2,325,795,97,78,117,2312,4,6513,26,5
2,2590,1,1295,1295,72,123,82,1600,4,6513,26,5
1,990,1,795,795,16,16,14,2301,4,6513,26,5
2,1600,2,350,1250,11,10,10,1141,4,6513,26,5
1,990,1,795,795,88,84,162,3331,4,6513,26,5
4,2835,4,295,1250,33,29,32,3070,4,6513,26,5
3,3342,3,481,1409,45,27,30,2606,4,6513,26,5
3,3295,3,795,1250,26,26,29,1761,4,6513,26,5
3,4130,3,1095,1195,85,86,140,2836,4,6513,26,5
1,1390,1,1095,1095,65,69,120,2874,4,6513,26,5
1,1250,1,1250,1250,19,9,11,1637,4,6513,26,5
4,3090,3,325,1195,55,102,59,1588,4,6513,26,5
2,2090,2,795,1295,82,74,82,2087,4,6513,26,5
8,5450,8,250,1150,42,42,50,2486,4,6513,26,5
2,1525,2,275,1250,35,29,30,2189,4,6513,26,5
1,1195,1,1195,1195,50,88,59,1606,4,6513,26,5
5,3330,5,325,1095,101,94,122,2637,4,6513,26,5
3,2210,3,325,795,27,9,11,1268,4,6513,26,5
2,1980,2,795,895,8,2,2,1765,4,6513,26,5
5,3580,4,295,1150,29,17,20,2828,4,6513,26,5
2,755,2,265,390,19,34,15,1407,2,5586,15,5
2,925,2,0,725,24,24,28,1992,4,1200,15,5
5,3950,5,500,1050,5,5,3,4440,4,4628,58,5
2,2600,1,1300,1300,10,7,3,1351,3,5750,20,5
4,2450,4,300,900,9,13,12,2960,3,5750,20,5
1,600,1,600,600,7,5,4,2469,3,5750,20,5
4,4200,4,300,1500,11,10,6,1600,3,5750,20,5
